Country Name,Year,GDP_per_capita,Life_Expectancy,Healthcare_Spending
Japan,2004,38298.9801712303,82.030243902439,2884.67358398
"Korea, Rep.",2004,17121.6301633201,77.6658536585366,765.10858154
Sri Lanka,2004,1028.62068132555,68.022,49.14835358
Nigeria,2004,962.48104194733,49.148,42.81798172
Norway,2004,57768.6980958462,79.8414634146342,5097.34423828
Pakistan,2004,771.902247348954,63.097,15.53542328
Singapore,2004,27608.080013423,79.490243902439,868.43688965
United States,2004,41724.6316287624,77.4878048780488,6071.84423828
Bangladesh,2005,480.08585075452,65.509,11.31403732
Germany,2005,35084.4363546269,78.9317073170732,3558.21337891
Ethiopia,2005,158.243458082465,54.364,6.4820013
India,2005,710.488080408949,64.939,27.49770737
Japan,2005,37812.8950199948,81.9551219512195,2892.60473633
"Korea, Rep.",2005,20167.0474902506,78.1682926829268,945.30609131
Sri Lanka,2005,1207.21994764165,73.073,55.40001297
Nigeria,2005,1211.37703504386,49.538,52.24337006
Norway,2005,67047.1704558264,80.0414634146342,5584.68896484
Pakistan,2005,827.619861189926,62.416,19.58962631
Singapore,2005,29961.3172812732,79.990243902439,908.3760376
United States,2005,44123.4070679055,77.4878048780488,6428.60205078
Bangladesh,2006,490.388026533289,66.048,12.05988026
Germany,2006,36980.3349948954,79.1317073170732,3698.04370117
Ethiopia,2006,189.345737521418,55.402,8.42413712
India,2006,801.668353659022,65.373,29.37600899
Japan,2006,35991.546002862,82.3219512195122,2763.53344727
"Korea, Rep.",2006,22609.7059431449,78.6682926829268,1131.65930176
Sri Lanka,2006,1388.89739119932,72.825,63.2890892
Nigeria,2006,1599.53891556365,49.876,63.63072205
Norway,2006,74434.4996835671,80.3439024390244,5892.98730469
Pakistan,2006,900.873564984808,63.624,24.43647003
Singapore,2006,33768.4528234651,80.1414634146341,989.73895264
United States,2006,46302.0008800056,77.6878048780488,6802.47509766
Bangladesh,2007,537.955492792911,66.458,14.03898716
Germany,2007,42350.9217211489,79.5341463414634,4182.91601563
Ethiopia,2007,237.146255996319,56.566,11.63210678
India,2007,1021.88707706826,65.803,35.63138962
Japan,2007,35779.0245416427,82.5070731707317,2781.49365234
"Korea, Rep.",2007,25078.4853957105,79.119512195122,1256.11560059
Sri Lanka,2007,1578.63451125392,72.983,71.38779449
Nigeria,2007,1815.52697545827,50.381,66.90659332
Norway,2007,85502.2677087731,80.3951219512195,6895.56005859
Pakistan,2007,998.090114197524,63.807,26.14198685
Singapore,2007,39432.8860198877,80.4414634146342,1116.97937012
United States,2007,48050.2237771135,77.9878048780488,7153.73144531
Bangladesh,2008,613.06204104124,67.047,15.5619669
Germany,2008,46379.1647953479,79.7365853658537,4669.76025391
Ethiopia,2008,316.410475118075,57.733,13.03863621
India,2008,992.519584923828,66.247,37.65440369
Japan,2008,39876.3039685725,82.5875609756098,3223.29101563
"Korea, Rep.",2008,22252.3125108061,79.5170731707317,1171.5625
Sri Lanka,2008,1973.58476901287,72.556,90.00082397
Nigeria,2008,2154.10543545364,50.748,77.45053101
Norway,2008,97503.5407803783,80.5926829268293,7768.05029297
Pakistan,2008,1067.04324565284,64.002,24.34272766
Singapore,2008,40008.5720489092,80.790243902439,1286.91345215
United States,2008,48570.0459804586,78.0390243902439,7364.93847656
Bangladesh,2009,679.211477428056,67.527,17.7030201
Germany,2009,42471.8868625226,79.8365853658537,4674.91943359
Ethiopia,2009,368.574712267445,58.715,15.1445961
India,2009,1094.94974598436,66.7,38.05965042
Japan,2009,41308.9968370512,82.9314634146342,3696.58422852
"Korea, Rep.",2009,19937.3029137734,79.9682926829268,1146.5637207
Sri Lanka,2009,2026.65939950702,70.298,97.26274872
Nigeria,2009,1820.48633854782,51.08,65.71811676
